Show,EpId,lectura,lectura_n,score,margen,rank_asignado,coincide_argmax,n_palabras_asr,duracion,fecha
ATMA,2020-06-02_04_15_44,Lectura 51,51,0.9464,0.8086,1,True,325,143.6,2020-06-02
ATMA,2020-06-02_04_16_06,Lectura 52,52,0.9708,0.7865,1,True,322,141.6,2020-06-02
ATMA,2020-06-02_04_16_22,Lectura 53,53,0.9275,0.787,1,True,323,153.6,2020-06-02
ATMA,2020-06-02_04_16_38,Lectura 54,54,0.9332,0.6737,1,True,287,171.9,2020-06-02
ATMA,2020-06-02_04_42_08,Lectura 55,55,0.9697,0.8065,1,True,293,134.3,2020-06-02
ATMA,2020-06-02_04_42_23,Lectura 56,56,0.9664,0.4573,1,True,357,157.7,2020-06-02
ATMA,2020-06-02_04_42_38,Lectura 57,57,0.9648,0.7627,1,True,334,175.3,2020-06-02
ATMA,2020-06-02_04_42_47,Lectura 58,58,0.9596,0.7649,1,True,283,139.8,2020-06-02
ATMA,2020-06-02_04_42_59,Lectura 59,59,0.9705,0.7683,1,True,328,148.9,2020-06-02
ATMA,2020-06-02_04_43_11,Lectura 60,60,0.923,0.741,1,True,254,125.3,2020-06-02
ATMA,2020-06-03_05_34_19,Lectura 61,61,0.943,0.8128,1,True,365,200.0,2020-06-03
ATMA,2020-06-03_05_34_27,Lectura 62,62,0.9304,0.783,1,True,304,151.4,2020-06-03
ATMA,2020-06-03_05_38_59,Lectura 63,63,0.9461,0.666,1,True,364,187.1,2020-06-03
ATMA,2020-06-03_05_39_25,Lectura 64,64,0.9087,0.7957,1,True,338,178.6,2020-06-03
ATMA,2020-06-03_05_40_18,Lectura 65,65,0.937,0.8085,1,True,308,130.6,2020-06-03
ATMA,2020-06-03_05_40_44,Lectura 66,66,0.9671,0.6912,1,True,295,125.4,2020-06-03
ATMA,2020-06-03_05_41_07,Lectura 67,67,0.8897,0.7009,1,True,301,150.1,2020-06-03
ATMA,2020-06-03_05_41_22,Lectura 68,68,0.9238,0.7831,1,True,278,130.0,2020-06-03
ATMA,2020-06-03_05_41_41,Lectura 69,69,0.9315,0.7693,1,True,336,157.3,2020-06-03
ATMA,2020-06-03_05_42_02,Lectura 70,70,0.9703,0.5537,1,True,294,132.2,2020-06-03
ATMA,2020-06-04_06_17_13,Lectura 71,71,0.9387,0.2789,1,True,350,181.0,2020-06-04
ATMA,2020-06-04_06_17_42,Lectura 72,72,0.8971,0.7118,1,True,367,174.8,2020-06-04
ATMA,2020-06-04_06_17_56,Lectura 73,73,0.9683,0.6538,1,True,328,146.3,2020-06-04
ATMA,2020-06-04_06_18_03,Lectura 74,74,0.9542,0.5435,1,True,301,146.8,2020-06-04
ATMA,2020-06-04_06_18_11,Lectura 75,75,0.9515,0.7912,1,True,281,125.3,2020-06-04
ATMA,2020-06-04_06_36_12,Lectura 76,76,0.9645,0.7652,1,True,259,125.7,2020-06-04
ATMA,2020-06-04_06_36_31,Lectura 77,77,0.9765,0.791,1,True,361,155.7,2020-06-04
ATMA,2020-06-04_06_36_46,Lectura 78,78,0.9328,0.6972,1,True,314,137.8,2020-06-04
ATMA,2020-06-04_06_36_59,Lectura 79,79,0.9649,0.6703,1,True,254,113.6,2020-06-04
ATMA,2020-06-04_06_37_17,Lectura 80,80,0.9495,0.7156,1,True,263,111.3,2020-06-04
ATMA,2020-06-05_03_55_30,Lectura 81,81,0.908,0.7588,1,True,340,165.4,2020-06-05
ATMA,2020-06-05_03_55_47,Lectura 82,82,0.9363,0.8171,1,True,267,114.7,2020-06-05
ATMA,2020-06-05_03_56_03,Lectura 83,83,0.924,0.7326,1,True,338,141.4,2020-06-05
ATMA,2020-06-05_03_56_35,Lectura 84,84,0.9605,0.8049,1,True,364,146.0,2020-06-05
ATMA,2020-06-05_03_56_48,Lectura 85,85,0.9049,0.7224,1,True,265,115.1,2020-06-05
ATMA,2020-06-05_03_57_06,Lectura 86,86,0.9636,0.2816,1,True,340,155.6,2020-06-05
ATMA,2020-06-05_08_42_24,Lectura 87,87,0.8976,0.6687,1,True,282,110.7,2020-06-05
ATMA,2020-06-05_08_42_40,Lectura 88,88,0.9495,0.6257,1,True,309,137.8,2020-06-05
ATMA,2020-06-05_08_42_52,Lectura 89,89,0.9433,0.8276,1,True,276,124.7,2020-06-05
ATMA,2020-06-05_08_43_06,Lectura 90,90,0.9555,0.7895,1,True,320,133.0,2020-06-05
ATMA,2020-06-06_08_53_08,Lectura 91,91,0.9443,0.7462,1,True,255,120.3,2020-06-06
